Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Allocated
'Simple SELECT - WITH FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,3.925 ms,9.975 ms,29.411 ms,0.7465 ms,6.25 KB
'Simple SELECT - WITHOUT FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,4.015 ms,9.289 ms,27.389 ms,0.8778 ms,6.55 KB
'Multi-Table JOIN - WITH FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,4.756 ms,9.550 ms,28.157 ms,1.6236 ms,6.94 KB
'Multi-Table JOIN - WITHOUT FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,4.513 ms,8.762 ms,25.836 ms,1.6227 ms,7.24 KB
'Aggregation Query - WITH FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,3.683 ms,8.553 ms,25.217 ms,0.8629 ms,4.55 KB
'Aggregation Query - WITHOUT FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,3.874 ms,9.433 ms,27.813 ms,0.8235 ms,4.24 KB
'Complex Analytical - WITH FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,26.215 ms,10.569 ms,31.163 ms,23.2584 ms,4.49 KB
'Complex Analytical - WITHOUT FK',Job-CKVGHD,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,100,Default,Default,Default,Default,Default,Default,Default,Monitoring,1,Default,26.340 ms,10.957 ms,32.307 ms,23.5062 ms,4.8 KB
